id,gender,age_group,city_tier,education,monthly_income,usage_freq,q1_easy_use,q2_visual_design,q3_response_speed,q4_feature_fit,q5_value_money,q6_intent_continue,satisfaction,recommend_nps,attention_check,completion_seconds,straightline_flag,device,open_text_tag,is_valid
80,male,30-39,tier2,master_plus,<5k,weekly,3,3,4,5,3,4,3,6,1,398,0,mobile,performance,1
81,male,40-49,tier4plus,college,10k-20k,weekly,5,5,5,5,3,5,5,7,1,170,0,mobile,price,1
82,female,23-29,tier2,highschool_or_below,5k-10k,daily,4,3,5,3,5,4,4,9,1,244,0,mobile,ui,1
83,male,30-39,tier4plus,college,>20k,daily,5,3,4,3,4,3,4,10,1,281,0,mobile,stability,1
84,female,23-29,tier1,college,5k-10k,monthly,3,2,4,3,4,4,3,5,1,136,0,mobile,performance,1
85,male,50+,tier4plus,highschool_or_below,>20k,monthly,2,2,3,3,2,2,2,4,1,98,0,mobile,performance,1
86,male,18-22,tier4plus,bachelor,10k-20k,weekly,3,3,3,3,4,3,3,8,1,285,0,mobile,feature_request,1
87,female,40-49,tier3,master_plus,10k-20k,weekly,4,3,3,3,1,2,2,5,1,237,0,mobile,ui,1
88,male,30-39,tier3,bachelor,10k-20k,weekly,4,5,4,4,5,4,5,10,1,56,0,mobile,performance,0
89,male,30-39,tier4plus,college,5k-10k,weekly,2,3,3,4,4,3,4,9,1,35,0,mobile,performance,0
90,male,23-29,tier2,bachelor,10k-20k,weekly,3,5,3,5,5,2,4,10,1,257,0,mobile,performance,1
91,male,50+,tier1,college,5k-10k,weekly,4,5,3,4,4,4,4,10,1,304,0,mobile,feature_request,1
92,male,40-49,tier2,bachelor,<5k,daily,5,5,5,5,4,4,5,10,1,319,0,mobile,performance,1
93,male,23-29,tier4plus,highschool_or_below,>20k,daily,4,4,5,4,5,5,5,10,1,241,0,mobile,stability,1
94,female,23-29,tier4plus,bachelor,<5k,monthly,4,3,3,4,2,4,3,8,1,35,0,mobile,price,0
95,male,23-29,tier1,bachelor,10k-20k,monthly,5,5,5,4,3,4,4,10,1,223,0,mobile,stability,1
96,female,30-39,tier4plus,bachelor,>20k,rarely,4,3,3,4,4,4,4,10,1,255,0,mobile,feature_request,1
97,female,23-29,tier2,bachelor,5k-10k,weekly,5,5,5,5,5,5,4,10,1,193,1,mobile,stability,0
98,female,30-39,tier4plus,master_plus,5k-10k,weekly,4,4,2,3,4,4,3,9,1,192,0,mobile,feature_request,1
99,female,40-49,tier2,college,10k-20k,weekly,4,3,5,4,4,4,4,8,1,211,0,mobile,performance,1
100,male,23-29,tier1,bachelor,5k-10k,weekly,4,3,4,3,3,3,3,7,1,250,0,desktop,performance,1
101,female,18-22,tier2,college,10k-20k,rarely,4,2,3,4,2,4,3,9,1,237,0,desktop,ui,1
102,male,40-49,tier2,bachelor,5k-10k,monthly,3,3,5,3,3,2,3,4,1,272,0,mobile,stability,1
103,male,30-39,tier1,college,10k-20k,daily,5,3,3,4,5,5,4,10,1,208,0,mobile,stability,1
104,female,30-39,tier4plus,college,10k-20k,rarely,2,1,2,2,1,1,1,3,1,136,0,mobile,performance,1
105,female,23-29,tier2,college,10k-20k,daily,3,4,4,2,3,5,4,10,1,266,0,mobile,stability,1
106,male,18-22,tier2,bachelor,<5k,daily,5,4,4,4,3,3,3,7,1,329,0,tablet,feature_request,1
107,male,18-22,tier2,bachelor,>20k,weekly,3,3,4,3,4,3,3,7,1,278,0,desktop,feature_request,1
108,female,30-39,tier1,bachelor,10k-20k,weekly,1,2,2,2,1,1,1,1,0,342,0,mobile,performance,0
109,female,23-29,tier2,master_plus,10k-20k,monthly,2,3,4,4,3,4,4,8,1,152,0,desktop,price,1
110,male,30-39,tier1,highschool_or_below,10k-20k,monthly,5,5,5,5,5,5,5,10,1,159,0,mobile,performance,1
111,female,40-49,tier3,bachelor,5k-10k,monthly,3,4,3,2,3,4,3,6,1,322,0,mobile,ui,1
112,female,23-29,tier2,college,10k-20k,weekly,4,4,3,2,2,2,3,6,1,235,0,desktop,price,1
113,female,23-29,tier3,college,10k-20k,monthly,4,3,3,3,2,3,3,8,0,190,0,mobile,performance,0
114,male,23-29,tier2,college,<5k,daily,3,4,3,5,2,5,4,9,1,55,0,mobile,price,0
115,male,23-29,tier3,bachelor,10k-20k,weekly,5,4,3,4,5,4,5,10,1,149,0,mobile,feature_request,1
116,male,18-22,tier3,college,5k-10k,weekly,4,4,5,5,3,4,5,10,1,346,0,desktop,performance,1
117,male,30-39,tier2,bachelor,<5k,daily,4,4,3,4,3,4,4,8,1,153,0,mobile,price,1
118,male,23-29,tier2,bachelor,<5k,monthly,4,4,2,4,1,3,3,8,1,278,0,mobile,feature_request,1
119,female,50+,tier1,college,<5k,rarely,3,2,3,3,3,3,3,6,1,151,0,mobile,ui,1
120,male,30-39,tier3,college,>20k,weekly,4,5,5,3,2,4,4,10,1,433,0,mobile,ui,1
121,male,23-29,tier2,college,>20k,monthly,3,1,2,2,2,2,2,4,0,174,0,mobile,feature_request,0
122,female,30-39,tier2,bachelor,<5k,rarely,4,2,3,4,3,3,3,4,1,228,0,mobile,performance,1
123,male,40-49,tier3,college,5k-10k,monthly,3,5,4,2,4,3,3,6,1,269,0,mobile,performance,1
124,male,23-29,tier2,master_plus,>20k,weekly,2,2,2,2,2,2,4,10,1,189,1,desktop,feature_request,0
125,male,30-39,tier2,college,5k-10k,weekly,3,4,3,3,3,3,3,7,1,203,0,mobile,price,1
126,female,30-39,tier2,bachelor,<5k,daily,4,4,5,4,5,5,4,7,1,74,0,mobile,feature_request,0
127,male,23-29,tier2,bachelor,>20k,daily,4,5,5,4,5,5,5,10,1,208,0,mobile,price,1
128,female,23-29,tier1,college,>20k,daily,2,2,2,4,3,2,3,7,1,101,0,mobile,price,1
129,male,40-49,tier2,highschool_or_below,10k-20k,daily,4,5,4,4,3,4,4,9,1,273,0,mobile,stability,1
130,female,23-29,tier2,master_plus,10k-20k,monthly,3,3,3,3,3,4,4,6,1,296,0,mobile,stability,1
131,male,40-49,tier2,bachelor,10k-20k,daily,4,3,3,3,3,5,3,6,1,122,0,mobile,stability,1
132,female,30-39,tier1,college,<5k,daily,4,5,4,5,4,5,4,10,1,207,0,tablet,price,1
133,female,23-29,tier3,master_plus,<5k,weekly,3,4,4,4,3,4,3,10,1,241,0,mobile,feature_request,1
134,male,40-49,tier1,bachelor,5k-10k,weekly,4,3,3,2,3,5,3,8,1,255,0,mobile,performance,1
135,female,23-29,tier3,college,5k-10k,monthly,2,2,2,2,2,2,2,2,1,234,0,mobile,feature_request,1
136,female,30-39,tier2,bachelor,>20k,daily,5,4,4,3,5,4,4,8,1,241,0,mobile,stability,1
137,male,30-39,tier2,bachelor,>20k,monthly,5,4,5,4,2,4,4,7,1,147,0,mobile,feature_request,1
138,female,30-39,tier2,college,<5k,daily,5,5,5,5,5,4,5,10,1,139,0,desktop,price,1
139,male,40-49,tier4plus,college,<5k,daily,2,4,5,4,2,4,4,10,1,263,0,mobile,ui,1
140,female,23-29,tier1,college,5k-10k,daily,3,3,4,3,3,4,4,9,1,174,0,desktop,stability,1
141,male,30-39,tier2,bachelor,10k-20k,daily,5,5,3,5,3,3,4,9,1,365,0,mobile,performance,1
142,female,23-29,tier2,master_plus,5k-10k,monthly,4,3,3,3,3,4,4,8,1,157,0,desktop,price,1
143,female,30-39,tier2,bachelor,>20k,weekly,3,4,4,4,3,3,3,6,1,235,0,desktop,price,1
144,male,50+,tier2,bachelor,10k-20k,daily,4,4,4,4,3,5,4,10,1,49,0,tablet,stability,0
145,female,23-29,tier3,college,>20k,weekly,3,5,5,4,5,5,4,10,1,144,0,mobile,performance,1
146,female,23-29,tier2,bachelor,10k-20k,monthly,3,1,1,1,2,3,2,2,1,217,0,desktop,price,1
147,female,23-29,tier3,college,<5k,rarely,2,1,3,2,3,3,2,4,0,227,0,mobile,stability,0
148,male,30-39,tier2,bachelor,5k-10k,daily,4,4,4,4,5,5,5,10,1,269,0,desktop,ui,1
149,male,30-39,tier1,master_plus,5k-10k,daily,3,3,4,4,4,5,4,8,1,252,0,desktop,performance,1
150,female,30-39,tier1,highschool_or_below,5k-10k,daily,4,3,4,3,3,2,3,4,1,324,0,desktop,feature_request,1
151,male,23-29,tier2,bachelor,<5k,weekly,4,4,5,5,4,5,5,10,1,214,0,mobile,stability,1
152,female,18-22,tier2,bachelor,10k-20k,daily,5,4,4,5,3,5,4,10,1,175,0,mobile,performance,1
153,female,40-49,tier2,bachelor,5k-10k,monthly,4,3,3,4,4,3,4,7,1,361,0,mobile,performance,1
154,male,18-22,tier2,college,5k-10k,daily,3,4,4,5,4,5,4,10,1,211,0,desktop,performance,1
155,female,18-22,tier1,bachelor,5k-10k,weekly,4,3,3,3,4,4,4,10,1,200,0,mobile,performance,1
156,female,23-29,tier3,bachelor,10k-20k,weekly,2,3,3,3,2,3,2,1,1,299,0,desktop,feature_request,1
157,female,23-29,tier2,college,10k-20k,weekly,4,5,5,2,5,3,4,8,1,194,0,mobile,ui,1
158,male,18-22,tier1,college,5k-10k,weekly,4,4,3,4,3,3,3,5,1,169,0,desktop,ui,1
159,female,40-49,tier1,bachelor,10k-20k,weekly,3,4,5,5,3,4,4,8,1,218,0,desktop,stability,1
160,female,23-29,tier1,bachelor,10k-20k,monthly,3,4,4,3,4,4,3,10,1,158,0,mobile,price,1
161,male,23-29,tier2,bachelor,10k-20k,daily,3,3,5,4,3,4,5,10,0,111,0,mobile,price,0
162,female,40-49,tier3,bachelor,5k-10k,daily,4,4,4,5,3,4,4,10,1,254,0,desktop,price,1
163,female,40-49,tier2,highschool_or_below,>20k,weekly,4,5,5,3,4,5,4,8,1,201,0,mobile,ui,1
164,male,23-29,tier2,college,<5k,weekly,4,3,4,5,4,4,4,7,0,230,0,mobile,price,0
165,male,30-39,tier3,highschool_or_below,<5k,weekly,5,5,5,5,5,5,5,10,1,121,0,mobile,stability,1
166,female,40-49,tier2,college,<5k,rarely,3,2,3,3,1,2,2,4,1,153,0,mobile,performance,1
167,female,18-22,tier2,bachelor,10k-20k,weekly,5,3,5,4,5,5,4,10,1,229,0,mobile,stability,1
168,female,30-39,tier3,bachelor,>20k,daily,4,5,4,3,2,4,4,5,1,175,0,mobile,performance,1
169,female,30-39,tier2,bachelor,<5k,daily,4,5,5,4,5,4,4,7,1,417,0,mobile,price,1
170,female,23-29,tier2,bachelor,<5k,monthly,4,5,3,4,4,4,4,8,1,180,0,mobile,stability,1
171,female,40-49,tier4plus,college,5k-10k,daily,4,4,4,5,3,4,5,10,0,240,0,mobile,performance,0
172,female,30-39,tier3,master_plus,10k-20k,weekly,4,5,4,4,5,4,5,10,1,88,0,desktop,performance,0
173,female,50+,tier1,college,5k-10k,weekly,4,5,4,5,4,5,4,7,1,278,0,desktop,performance,1
174,female,23-29,tier2,bachelor,<5k,daily,5,4,5,5,5,5,5,10,1,226,0,mobile,stability,1
175,female,40-49,tier2,master_plus,5k-10k,monthly,3,2,3,4,3,3,3,7,1,110,0,mobile,performance,1
176,male,18-22,tier2,master_plus,5k-10k,monthly,4,4,2,3,5,3,3,4,0,95,0,mobile,price,0
177,male,23-29,tier2,college,>20k,weekly,4,4,4,3,3,3,3,10,1,175,0,desktop,price,1
178,female,18-22,tier1,bachelor,10k-20k,weekly,3,5,4,4,4,5,4,10,1,155,0,mobile,price,1
179,female,23-29,tier3,master_plus,<5k,daily,4,5,4,5,5,5,4,10,1,322,0,mobile,performance,1
180,male,18-22,tier3,master_plus,5k-10k,monthly,3,3,2,4,1,4,2,7,1,252,0,mobile,ui,1
181,male,18-22,tier3,college,<5k,daily,4,5,5,4,5,5,5,10,1,202,0,mobile,feature_request,1
182,female,23-29,tier2,highschool_or_below,10k-20k,weekly,5,5,5,5,5,5,5,10,1,400,1,desktop,performance,0
183,female,40-49,tier3,college,10k-20k,monthly,5,3,2,4,4,3,3,8,1,65,0,mobile,performance,0
184,male,30-39,tier3,college,5k-10k,monthly,2,1,1,1,2,2,1,5,1,201,0,mobile,ui,1
185,female,30-39,tier1,bachelor,>20k,daily,5,3,5,4,3,4,4,10,1,311,0,desktop,feature_request,1
186,male,40-49,tier1,college,<5k,weekly,4,5,4,3,4,4,4,10,1,254,0,mobile,ui,1
187,male,18-22,tier1,bachelor,10k-20k,daily,3,3,3,3,3,3,3,5,1,122,1,mobile,price,0
188,male,18-22,tier3,college,<5k,daily,5,4,5,5,4,5,4,10,1,259,0,mobile,feature_request,1
189,female,18-22,tier3,bachelor,5k-10k,daily,4,4,4,5,4,4,4,10,1,332,0,mobile,stability,1
190,male,30-39,tier4plus,bachelor,5k-10k,weekly,5,5,4,3,5,5,4,10,1,222,0,desktop,performance,1
191,female,23-29,tier3,bachelor,10k-20k,rarely,4,4,4,4,4,4,4,10,1,232,0,desktop,feature_request,1
192,male,23-29,tier2,bachelor,<5k,monthly,5,4,3,3,4,5,4,10,1,255,0,mobile,performance,1
193,male,23-29,tier3,bachelor,10k-20k,rarely,5,5,5,5,5,5,2,5,1,144,1,mobile,ui,0
194,male,18-22,tier4plus,college,10k-20k,daily,4,4,4,5,4,4,5,10,1,76,0,mobile,ui,0
195,female,40-49,tier3,bachelor,5k-10k,weekly,5,4,5,4,5,5,4,7,1,97,0,mobile,ui,1
196,female,18-22,tier2,college,<5k,monthly,3,2,1,2,2,3,2,2,1,97,0,tablet,performance,1
197,female,18-22,tier3,master_plus,<5k,weekly,5,4,5,4,4,5,5,10,1,337,0,mobile,feature_request,1
198,female,30-39,tier3,bachelor,10k-20k,monthly,3,3,3,3,2,5,2,4,1,228,0,mobile,price,1
199,female,18-22,tier2,bachelor,<5k,monthly,3,4,3,2,2,4,3,7,0,302,0,mobile,stability,0
200,female,18-22,tier2,bachelor,5k-10k,weekly,3,4,3,3,3,4,3,4,1,219,0,mobile,feature_request,1
